944;2025-10-28 13:38:39.283;2025-11-05 15:30:29.374;PRESENTE;;;14.0269884,-89.7834046;Presencial;2025-10-28 13:38:39.284;2025-11-05 15:30:29.375;196;196;2406
378;2025-10-30 17:03:22.139;2025-11-05 18:07:49.892;PRESENTE;;;13.6201307,-89.0920282;Presencial;2025-10-30 17:03:22.139;2025-11-05 18:07:49.892;129;129;671
273;2025-10-31 21:13:33.867;2025-11-06 16:23:09.66;PRESENTE;;;13.7905375,-89.0467129;Presencial;2025-10-31 21:13:33.868;2025-11-06 16:23:09.661;273;273;2266
293;2025-10-30 18:10:29.866;2025-10-30 18:39:47.407;PRESENTE;;;13.2893673,-88.6835891;Presencial;2025-10-30 18:10:29.866;2025-10-30 18:39:47.408;293;293;791
1649;2025-10-30 18:10:29.872;2025-10-30 18:39:47.407;PRESENTE;;;13.2893673,-88.6835891;Presencial;2025-10-30 18:10:29.873;2025-10-30 18:39:47.408;293;293;791
310;2025-10-31 15:22:28.897;2025-10-31 17:01:58.041;PRESENTE;;;13.3368067,-88.4356287;Presencial;2025-10-31 15:22:28.898;2025-10-31 17:01:58.041;310;310;1711
3917;2025-10-31 15:22:28.902;2025-10-31 17:01:58.041;PRESENTE;;;13.3368067,-88.4356287;Presencial;2025-10-31 15:22:28.903;2025-10-31 17:01:58.041;310;310;1711
160;2025-11-04 18:09:34.789;2025-11-05 17:21:14.611;PRESENTE;;;13.444302,-88.750452;Presencial;2025-11-04 18:09:34.789;2025-11-05 17:21:14.612;160;160;2436
3290;2025-10-31 21:13:33.873;2025-11-06 16:23:09.66;PRESENTE;;;13.7905375,-89.0467129;Presencial;2025-10-31 21:13:33.874;2025-11-06 16:23:09.661;273;273;2266
144;2025-11-04 20:14:37.872;2025-11-06 14:43:15.965;PRESENTE;;;13.4773381,-88.1921843;Presencial;2025-11-04 20:14:37.873;2025-11-06 14:43:15.966;144;144;1626
2792;2025-11-04 20:14:37.879;2025-11-06 14:43:15.965;PRESENTE;;;13.4773381,-88.1921843;Presencial;2025-11-04 20:14:37.88;2025-11-06 14:43:15.966;144;144;1626
132;2025-10-28 20:37:06.393;2025-10-30 22:37:13.843;PRESENTE;;;13.7299614,-88.8821012;Presencial;2025-10-28 20:37:06.394;2025-10-30 22:37:13.844;132;132;1576
3529;2025-10-28 20:37:06.398;2025-10-30 22:37:13.843;PRESENTE;;;13.7299614,-88.8821012;Presencial;2025-10-28 20:37:06.399;2025-10-30 22:37:13.844;132;132;1576
192;2025-10-28 15:27:50.462;2025-10-31 21:49:18.322;PRESENTE;;;13.6686323,-88.7769345;Presencial;2025-10-28 15:27:50.463;2025-10-31 21:49:18.322;192;192;3856
3633;2025-10-28 15:27:50.466;2025-10-31 21:49:18.322;PRESENTE;;;13.6686323,-88.7769345;Presencial;2025-10-28 15:27:50.466;2025-10-31 21:49:18.322;192;192;3856
4706;2025-11-05 16:22:54.789;2025-11-07 15:00:16.652;PRESENTE;;;13.4832344,-88.4658897;Presencial;2025-11-05 16:22:54.789;2025-11-07 15:00:16.653;76;76;3551
2176;2025-10-28 15:27:34.414;2025-11-05 16:14:15.033;PRESENTE;;;13.8674239,-89.8489709;Presencial;2025-10-28 15:27:34.415;2025-11-05 16:14:15.033;140;140;1606
52;2025-10-28 14:20:55.574;2025-11-04 17:49:02.908;PRESENTE;;;14.2180656,-89.1198209;Presencial;2025-10-28 14:20:55.575;2025-11-04 17:49:02.909;52;52;2066
105;2025-10-28 16:28:26.992;2025-11-05 16:51:24.595;PRESENTE;;;13.8570052,-89.8039036;Presencial;2025-10-28 16:28:26.993;2025-11-05 16:51:24.596;105;105;1811
1465;2025-10-28 14:20:55.58;2025-11-04 17:49:02.908;PRESENTE;;;14.2180656,-89.1198209;Presencial;2025-10-28 14:20:55.581;2025-11-04 17:49:02.909;52;52;2066
4303;2025-10-31 16:09:12.671;2025-11-07 18:17:19.742;PRESENTE;;;13.6980638,-89.1915341;Presencial;2025-10-31 16:09:12.671;2025-11-07 18:17:19.743;303;303;2941
189;2025-10-29 18:25:00.764;2025-11-06 22:09:19.534;PRESENTE;;;13.7952167,-89.1873056;Presencial;2025-10-29 18:25:00.765;2025-11-06 22:09:19.535;189;189;2361
76;2025-10-28 17:02:01.178;2025-10-28 20:55:58.232;PRESENTE;;;13.4953739,-88.4625935;Presencial;2025-10-28 17:02:01.179;2025-10-28 20:55:58.233;76;76;1966
2561;2025-10-28 17:02:01.182;2025-10-28 20:55:58.232;PRESENTE;;;13.4953739,-88.4625935;Presencial;2025-10-28 17:02:01.182;2025-10-28 20:55:58.233;76;76;1966
738;2025-10-29 18:25:00.77;2025-11-06 22:09:19.534;PRESENTE;;;13.7952167,-89.1873056;Presencial;2025-10-29 18:25:00.77;2025-11-06 22:09:19.535;189;189;2361
1181;2025-10-31 15:23:46.882;2025-11-06 20:11:02.884;PRESENTE;;;13.9666694,-89.6610517;Presencial;2025-10-31 15:23:46.882;2025-11-06 20:11:02.885;318;318;2366
3838;2025-10-28 14:58:57.708;2025-11-05 18:31:31.387;PRESENTE;;;13.7380617,-88.2856367;Presencial;2025-10-28 14:58:57.708;2025-11-05 18:31:31.388;153;153;1651
231;2025-11-03 16:07:39.194;2025-11-07 17:26:31.115;PRESENTE;;;13.239381,-87.861633;Presencial;2025-11-03 16:07:39.195;2025-11-07 17:26:31.116;231;231;2596
3354;2025-11-03 16:07:39.198;2025-11-07 17:26:31.115;PRESENTE;;;13.239381,-87.861633;Presencial;2025-11-03 16:07:39.199;2025-11-07 17:26:31.116;231;231;2596
4544;2025-11-04 18:09:34.793;2025-11-05 17:21:14.611;PRESENTE;;;13.444302,-88.750452;Presencial;2025-11-04 18:09:34.793;2025-11-05 17:21:14.612;160;160;2436
