66;2025-10-28 18:12:06.551;2025-10-28 18:26:20.488;PRESENTE;;;13.3277217,-88.5703583;Presencial;2025-10-28 18:12:06.552;2025-10-28 18:26:20.488;66;66;2021;Duplicate: personRoleId=66, eventInstanceId=2021
120;2025-10-29 21:33:05.446;2025-11-06 16:01:37.715;PRESENTE;;;13.7465143,-89.7077173;Presencial;2025-10-29 21:33:05.447;2025-11-06 16:01:37.716;120;120;1531;Duplicate: personRoleId=120, eventInstanceId=1531
153;2025-11-03 16:08:49.277;2025-11-05 18:31:31.387;PRESENTE;;;13.7695124,-88.333563;Presencial;2025-11-03 16:08:49.278;2025-11-05 18:31:31.388;153;153;1651;Duplicate: personRoleId=153, eventInstanceId=1651
112;2025-10-31 16:24:34.554;2025-11-05 15:06:03.34;PRESENTE;;;13.9120721,-89.2792342;Presencial;2025-10-31 16:24:34.555;2025-11-05 15:06:03.341;112;112;1496;Duplicate: personRoleId=112, eventInstanceId=1496
66;2025-10-27 22:20:34.379;2025-10-27 22:20:46.512;PRESENTE;;;13.385685,-88.6680533;Presencial;2025-10-27 22:20:34.38;2025-10-27 22:20:46.513;66;66;1031;Duplicate: personRoleId=66, eventInstanceId=1031
1690;2025-10-27 22:20:34.385;2025-10-27 22:20:46.512;PRESENTE;;;13.385685,-88.6680533;Presencial;2025-10-27 22:20:34.385;2025-10-27 22:20:46.513;66;66;1031;Duplicate: personRoleId=1690, eventInstanceId=1031
47;2025-10-31 15:24:10.226;2025-11-06 15:36:10.434;PRESENTE;;;13.3097934,-88.1199304;Presencial;2025-10-31 15:24:10.227;2025-11-06 15:36:10.435;47;47;2086;Duplicate: personRoleId=47, eventInstanceId=2086
246;2025-11-04 15:57:10.489;2025-11-07 17:03:10.911;PRESENTE;;;13.9640742,-88.511049;Presencial;2025-11-04 15:57:10.49;2025-11-07 17:03:10.912;246;246;1136;Duplicate: personRoleId=246, eventInstanceId=1136
142;2025-10-28 17:06:34.795;2025-11-03 17:37:02.366;PRESENTE;;;14.0426435,-89.6158125;Presencial;2025-10-28 17:06:34.796;2025-11-03 17:37:02.367;142;142;1616;Duplicate: personRoleId=142, eventInstanceId=1616
232;2025-10-28 15:31:17.76;2025-11-08 03:09:08.802;PRESENTE;;;14.1344122,-88.9652798;Presencial;2025-10-28 15:31:17.761;2025-11-08 03:09:08.802;232;232;2601;Duplicate: personRoleId=232, eventInstanceId=2601
105;2025-11-05 16:24:34.839;2025-11-05 16:51:24.595;PRESENTE;;;13.8570051,-89.8039003;Presencial;2025-11-05 16:24:34.84;2025-11-05 16:51:24.596;105;105;1811;Duplicate: personRoleId=105, eventInstanceId=1811
4188;2025-10-28 17:06:34.799;2025-11-03 17:37:02.366;PRESENTE;;;14.0426435,-89.6158125;Presencial;2025-10-28 17:06:34.8;2025-11-03 17:37:02.367;142;142;1616;Duplicate: personRoleId=4188, eventInstanceId=1616
