eventId;personRoleId;checkIn;checkOut;status;comment;justificationUrl;coordenates;modality;createdAt;updatedAt;createdBy;updatedBy
324;142;2025-10-31 16:09:51.008;2025-11-03 17:37:02.366;PRESENTE;"";"";13.9973465,-89.6033134;Presencial;2025-10-31 16:09:51.009;2025-11-03 17:37:02.367;142;142
388;81;2025-11-04 15:55:11.44;2025-11-05 17:56:20.649;PRESENTE;"";"";13.7069929,-89.1763486;Presencial;2025-11-04 15:55:11.441;2025-11-05 17:56:20.65;81;81
484;196;2025-10-28 13:38:39.279;2025-11-05 15:30:29.374;PRESENTE;"";"";14.0269884,-89.7834046;Presencial;2025-10-28 13:38:39.28;2025-11-05 15:30:29.375;196;196
418;2306;2025-10-28 17:02:07.952;2025-11-06 15:36:10.434;PRESENTE;"";"";13.1742056,-88.1046515;Presencial;2025-10-28 17:02:07.953;2025-11-06 15:36:10.435;47;47
388;2964;2025-11-04 15:55:11.444;2025-11-05 17:56:20.649;PRESENTE;"";"";13.7069929,-89.1763486;Presencial;2025-11-04 15:55:11.445;2025-11-05 17:56:20.65;81;81
781;279;2025-11-03 13:50:19.956;2025-11-07 18:30:10.475;PRESENTE;"";"";13.9861044,-89.6732076;Presencial;2025-11-03 13:50:19.957;2025-11-07 18:30:10.476;279;279
781;430;2025-11-03 13:50:19.962;2025-11-07 18:30:10.475;PRESENTE;"";"";13.9861044,-89.6732076;Presencial;2025-11-03 13:50:19.963;2025-11-07 18:30:10.476;279;279
431;275;2025-10-28 14:22:25.07;2025-10-30 15:40:40.957;PRESENTE;"";"";13.85048,-89.5947583;Presencial;2025-10-28 14:22:25.071;2025-10-30 15:40:40.957;275;275
431;842;2025-10-28 14:22:25.074;2025-10-30 15:40:40.957;PRESENTE;"";"";13.85048,-89.5947583;Presencial;2025-10-28 14:22:25.075;2025-10-30 15:40:40.957;275;275
464;172;2025-10-29 14:14:15.043;2025-11-06 18:54:29.84;PRESENTE;"";"";13.7277034,-89.1808831;Presencial;2025-10-29 14:14:15.044;2025-11-06 18:54:29.841;172;172
324;2434;2025-10-31 16:09:51.013;2025-11-03 17:37:02.366;PRESENTE;"";"";13.9973465,-89.6033134;Presencial;2025-10-31 16:09:51.013;2025-11-03 17:37:02.367;142;142
484;944;2025-10-28 13:38:39.283;2025-11-05 15:30:29.374;PRESENTE;"";"";14.0269884,-89.7834046;Presencial;2025-10-28 13:38:39.284;2025-11-05 15:30:29.375;196;196
134;378;2025-10-30 17:03:22.139;2025-11-05 18:07:49.892;PRESENTE;"";"";13.6201307,-89.0920282;Presencial;2025-10-30 17:03:22.139;2025-11-05 18:07:49.892;129;129
456;273;2025-10-31 21:13:33.867;2025-11-06 16:23:09.66;PRESENTE;"";"";13.7905375,-89.0467129;Presencial;2025-10-31 21:13:33.868;2025-11-06 16:23:09.661;273;273
159;293;2025-10-30 18:10:29.866;2025-10-30 18:39:47.407;PRESENTE;"";"";13.2893673,-88.6835891;Presencial;2025-10-30 18:10:29.866;2025-10-30 18:39:47.408;293;293
159;1649;2025-10-30 18:10:29.872;2025-10-30 18:39:47.407;PRESENTE;"";"";13.2893673,-88.6835891;Presencial;2025-10-30 18:10:29.873;2025-10-30 18:39:47.408;293;293
343;310;2025-10-31 15:22:28.897;2025-10-31 17:01:58.041;PRESENTE;"";"";13.3368067,-88.4356287;Presencial;2025-10-31 15:22:28.898;2025-10-31 17:01:58.041;310;310
343;3917;2025-10-31 15:22:28.902;2025-10-31 17:01:58.041;PRESENTE;"";"";13.3368067,-88.4356287;Presencial;2025-10-31 15:22:28.903;2025-10-31 17:01:58.041;310;310
491;160;2025-11-04 18:09:34.789;2025-11-05 17:21:14.611;PRESENTE;"";"";13.444302,-88.750452;Presencial;2025-11-04 18:09:34.789;2025-11-05 17:21:14.612;160;160
456;3290;2025-10-31 21:13:33.873;2025-11-06 16:23:09.66;PRESENTE;"";"";13.7905375,-89.0467129;Presencial;2025-10-31 21:13:33.874;2025-11-06 16:23:09.661;273;273
